# Goxel 0.7.1
# One line per voxel
# X Y Z RRGGBB
-347 6 -30 ffffff
-346 6 -30 ffffff
-345 6 -30 ffffff
-344 6 -30 ffffff
-343 6 -30 ffffff
-342 6 -30 ffffff
-341 6 -30 ffffff
-340 6 -30 ffffff
-339 6 -30 ffffff
-338 6 -30 ffffff
-337 6 -30 ffffff
-336 6 -30 ffffff
-347 7 -30 ffffff
-346 7 -30 ffffff
-345 7 -30 ffffff
-344 7 -30 ffffff
-343 7 -30 ffffff
-342 7 -30 ffffff
-341 7 -30 ffffff
-340 7 -30 ffffff
-339 7 -30 ffffff
-338 7 -30 ffffff
-337 7 -30 ffffff
-336 7 -30 ffffff
-347 8 -30 ffffff
-346 8 -30 ffffff
-345 8 -30 ffffff
-344 8 -30 ffffff
-343 8 -30 ffffff
-342 8 -30 ffffff
-341 8 -30 ffffff
-340 8 -30 ffffff
-339 8 -30 ffffff
-338 8 -30 ffffff
-337 8 -30 ffffff
-336 8 -30 ffffff
-347 9 -30 ffffff
-346 9 -30 ffffff
-345 9 -30 ffffff
-344 9 -30 ffffff
-343 9 -30 ffffff
-342 9 -30 ffffff
-341 9 -30 ffffff
-340 9 -30 ffffff
-339 9 -30 ffffff
-338 9 -30 ffffff
-337 9 -30 ffffff
-336 9 -30 ffffff
-347 10 -30 ffffff
-346 10 -30 ffffff
-345 10 -30 ffffff
-344 10 -30 ffffff
-343 10 -30 ffffff
-342 10 -30 ffffff
-341 10 -30 ffffff
-340 10 -30 ffffff
-339 10 -30 ffffff
-338 10 -30 ffffff
-337 10 -30 ffffff
-336 10 -30 ffffff
-347 6 -29 ffffff
-346 6 -29 ffffff
-345 6 -29 ffffff
-344 6 -29 ffffff
-343 6 -29 ffffff
-342 6 -29 ffffff
-341 6 -29 ffffff
-340 6 -29 ffffff
-339 6 -29 ffffff
-338 6 -29 ffffff
-336 6 -29 ffffff
-347 7 -29 ffffff
-346 7 -29 ffffff
-345 7 -29 ffffff
-344 7 -29 ffffff
-343 7 -29 ffffff
-342 7 -29 ffffff
-341 7 -29 ffffff
-340 7 -29 ffffff
-339 7 -29 ffffff
-338 7 -29 ffffff
-337 7 -29 ffffff
-336 7 -29 ffffff
-347 8 -29 ffffff
-346 8 -29 ffffff
-345 8 -29 ffffff
-344 8 -29 ffffff
-343 8 -29 ffffff
-342 8 -29 ffffff
-341 8 -29 ffffff
-340 8 -29 ffffff
-339 8 -29 ffffff
-338 8 -29 ffffff
-337 8 -29 ffffff
-336 8 -29 ffffff
-347 9 -29 ffffff
-346 9 -29 ffffff
-345 9 -29 ffffff
-344 9 -29 ffffff
-343 9 -29 ffffff
-342 9 -29 ffffff
-341 9 -29 ffffff
-340 9 -29 ffffff
-339 9 -29 ffffff
-338 9 -29 ffffff
-337 9 -29 ffffff
-336 9 -29 ffffff
-347 10 -29 ffffff
-346 10 -29 ffffff
-345 10 -29 ffffff
-344 10 -29 ffffff
-343 10 -29 ffffff
-342 10 -29 ffffff
-341 10 -29 ffffff
-340 10 -29 ffffff
-339 10 -29 ffffff
-338 10 -29 ffffff
-337 10 -29 ffffff
-347 6 -28 ffffff
-346 6 -28 ffffff
-345 6 -28 ffffff
-344 6 -28 ffffff
-343 6 -28 ffffff
-342 6 -28 ffffff
-341 6 -28 ffffff
-340 6 -28 ffffff
-339 6 -28 ffffff
-338 6 -28 ffffff
-347 7 -28 ffffff
-346 7 -28 ffffff
-345 7 -28 ffffff
-344 7 -28 ffffff
-343 7 -28 ffffff
-342 7 -28 ffffff
-341 7 -28 ffffff
-340 7 -28 ffffff
-339 7 -28 ffffff
-338 7 -28 ffffff
-347 8 -28 ffffff
-346 8 -28 ffffff
